""	Minimum Cumulative Default Probability Associated with Rating	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Rating	Year 1	Year 2	Year 3	Year 4	Year 5	Year 6	Year 7	Year 8	Year 9	Year 10	Year 11	Year 12	Year 13	Year 14	Year 15	Year 16	Year 17	Year 18	Year 19	Year 20	Year 21	Year 22	Year 23	Year 24	Year 25	Year 26	Year 27	Year 28	Year 29	Year 30	Year 31	""
AAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AAA
AA+	1.68819430161341E-06	7.74596669241483E-06	2.64575131106459E-05	6.14817045957576E-05	9.48156105290685E-05	1.29614813968157E-04	1.67570880525227E-04	2.10285520186246E-04	2.59306768133807E-04	3.16227766016838E-04	3.977357621193E-04	4.78665959787868E-04	5.66784085662748E-04	6.61891250624325E-04	7.63766799849166E-04	8.72172602174932E-04	9.86856856057627E-04	1.1075574474815E-03	1.23400489638367E-03	1.36592492803535E-03	1.50304070478191E-03	1.64507475189086E-03	1.79175060922199E-03	1.94279423818744E-03	2.0979352111358E-03	2.25690770796288E-03	2.41945134248277E-03	2.58531183892801E-03	2.75424157691192E-03	2.92600002129333E-03	3.09775846567473E-03	AA+
AA	8.80454428122206E-06	4.89897948556636E-05	1.61245154965971E-04	3.141655614481E-04	4.5912961132996E-04	6.11391854705311E-04	7.74209274033836E-04	9.51052049048842E-04	1.15965512114594E-03	1.4142135623731E-03	1.80471138794546E-03	2.20183887289169E-03	2.64120114177346E-03	3.12265222022471E-03	3.64582944405643E-03	4.21017209054402E-03	4.8149400991492E-03	5.45923262467949E-03	6.14200620662827E-03	6.86209237721072E-03	7.61821456655168E-03	8.40900419608977E-03	9.2330158803064E-03	1.00887416823311E-02	1.09746243909154E-02	1.18890698048945E-02	1.28304580268214E-02	0.013797153780232	0.014787515775283	1.57999051555812E-02	1.68122945358795E-02	AA
AA-	2.02662280654294E-05	1.2328828005938E-04	3.91663120551323E-04	6.88984760353957E-04	9.8264947972306E-04	1.27620531263586E-03	1.5873562927081E-03	1.91624633072056E-03	2.31577200950353E-03	2.82842712474619E-03	4.0053530621406E-03	4.81965778475852E-03	5.70912998123815E-03	6.67211198944784E-03	7.70660866766593E-03	8.81033660500145E-03	9.98077031474849E-03	1.12151851603386E-02	1.25106968829528E-02	1.38642976950345E-02	1.52728889781246E-02	1.67333106797704E-02	1.82423675456682E-02	1.97968523522842E-02	2.13935663242685E-02	2.30293369320016E-02	2.47010332692867E-02	2.64055792109501E-02	2.81399645461128E-02	2.99012542761467E-02	3.16625440061806E-02	AA-
A+	4.18881844915723E-05	2.65141471671257E-04	8.30842945447574E-04	1.38162947276033E-03	1.92514934485613E-03	2.45743768995269E-03	3.03581949397523E-03	3.61330873300359E-03	4.32863719893456E-03	5.29150262212918E-03	8.17371519317167E-03	9.66023008872371E-03	1.12559625656786E-02	1.29550861588409E-02	1.47514782131345E-02	1.66388217526556E-02	0.018610694208462	2.06606436715219E-02	2.27822535362314E-02	2.49691965124873E-02	2.72152790330555E-02	2.95144770856674E-02	3.18609644697007E-02	3.42491344260905E-02	3.66736155243289E-02	3.91292826180883E-02	0.041611263605584	4.41149426554585E-02	4.66359604859467E-02	4.91702122158373E-02	5.17044639457279E-02	A+
A	7.94699314206323E-05	5.08920425999979E-04	1.6116451222276E-03	0.00255352697264	3.49123187428163E-03	4.38622844822292E-03	5.36898500649797E-03	6.30809004374541E-03	7.50123989751028E-03	9.16515138991168E-03	1.21927541878748E-02	1.43365161655101E-02	1.66239416016285E-02	1.90451640108247E-02	2.15900410859791E-02	2.42483098094488E-02	2.70097187450148E-02	0.029864138972424	3.28016554181627E-02	0.035812640482018	3.88878118987617E-02	4.20182767390311E-02	4.51955633671562E-02	4.84116430546084E-02	5.16589428096576E-02	0.05493035083687	5.82192158915752E-02	6.15193416495085E-02	6.48249770739488E-02	6.81308036339896E-02	7.14366301940305E-02	A
A-	2.05499270071696E-04	1.02469507659596E-03	2.82701255745354E-03	4.31624837098145E-03	5.83874986619567E-03	7.28374903466614E-03	8.87749964798648E-03	1.03812330674155E-02	1.22173646912908E-02	1.46969384566991E-02	1.82755763514257E-02	2.12259216909445E-02	2.43355248971333E-02	2.75895027014142E-02	3.09731347132798E-02	3.44720193868325E-02	0.038072198206047	4.17602517228431E-02	4.55233710643558E-02	4.93494083662188E-02	5.32269093443829E-02	5.71451309285991E-02	6.10940465733564E-02	6.50643415549603E-02	6.90474002683254E-02	7.30352872611247E-02	7.70207234901406E-02	8.09970590567118E-02	8.49582434752609E-02	8.88987943502148E-02	9.28393452251688E-02	A-
BBB+	5.91312100332811E-04	2.04939015319192E-03	4.48998886412873E-03	6.69477408132642E-03	8.96102672688794E-03	1.11655720856569E-02	1.36150651853012E-02	1.60031246948838E-02	1.85752523536021E-02	2.16333076527839E-02	2.74507110563985E-02	3.13907043573041E-02	3.54768104700461E-02	3.96887021669766E-02	4.40071512947327E-02	4.84141055014596E-02	5.28927292378513E-02	5.74274160570168E-02	0.062003778338719	6.66086196751192E-02	7.12298943217299E-02	7.58566573619971E-02	8.04790085664041E-02	8.50880323482956E-02	8.96757357247046E-02	9.42349857744239E-02	9.87594477391603E-02	0.103243524628247	0.107682298954675	0.112071477042327	0.116460655129979	BBB+
BBB	1.2369316876853E-03	3.62767142944341E-03	6.81762421962373E-03	9.97997995989972E-03	1.31833227981416E-02	1.64283291907607E-02	2.00616549666273E-02	2.36949361678819E-02	2.71197345119749E-02	3.05941170815567E-02	3.65351252293865E-02	4.14641134109853E-02	4.65267358490877E-02	5.16971212511222E-02	5.69514411777846E-02	0.062267908227142	6.76267341533123E-02	7.30100584065393E-02	7.84018558050878E-02	8.37878304268035E-02	8.91553013758805E-02	9.44930848481015E-02	9.97913758793191E-02	0.105041632301997	0.11023646273367	0.115369519858312	0.120435399816231	0.125429548171265	0.130348172658451	0.135188162716076	0.1400281527737	BBB
