Series Name	Series Description	Series Type	Type/Format	Minimum	Maximum	RandomMean	RandomStdDevOrSigma	Projection Comments	Include in Output File?	Year 0	Year 1	Year 2	Year 3	Year 4	Year 5	Year 6	Year 7	Year 8	Year 9	Year 10	Year 11	Year 12	Year 13	Year 14	Year 15	Year 16	Year 17	Year 18	Year 19	Year 20	Year 21	Year 22	Year 23	Year 24	Year 25	Year 26	Year 27	Year 28	Year 29	Year 30	Year 31
normrandom_lfp	Random Draws for Labor Force Participation	Random Numbers	double(8,6)	""	""	0	0.5	Normally Distributed Random Numbers for Labor Force Participation	Y	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
normrandom_unem	Random Draws for Unemployment	Random Numbers	double(8,6)	""	""	0	0.5	Normally Distributed Random Numbers for Unemployment	Y	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
normrandom_prod	Random Draws for Productivity	Random Numbers	double(8,6)	""	""	0	0.5	Normally Distributed Random Numbers for Productivity	Y	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
normrandom_infl	Random Draws for Inflation	Random Numbers	double(8,6)	""	""	0	0.5	Normally Distributed Random Numbers for Inflation	Y	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
normrandom_int	Random Draws for Interest Rates	Random Numbers	double(8,6)	""	""	0	0.5	Normally Distributed Random Numbers for Metal Prices	Y	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
yr	Year Number	Macroeconomic	double(2,0)	""	""	""	""	Sequential Value	Y	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
preschoolpop	Population Aged 0-4	Macroeconomic	double(12,0)	""	""	""	""	Statistics Canada Population Estimates	Y	288844	294941	301117	307530	312004	316517	320911	325187	329186	332907	336312	339281	341854	343992	345694	346961	347832	348347	348624	348743	348822	348980	349376	350049	351078	352583	353856	355010	356090	357214	358292	359339
schoolpop	Population Aged 5-19	Macroeconomic	double(12,0)	""	""	""	""	Statistics Canada Population Estimates	Y	944215	940311	938319	937761	939633	943657	950670	959714	970431	981826	995213	1009277	1023700	1037326	1051589	1065614	1080276	1094180	1107607	1118484	1128484	1137688	1145935	1153306	1159720	1165418	1170246	1174573	1178909	1183527	1188977	1195539
workingagepop	Population Aged 15+	Macroeconomic	double(12,0)	""	""	""	""	Statistics Canada Population Estimates	Y	4465284	4528552	4590545	4650544	4709825	4766914	4823166	4878660	4934632	4990366	5046697	5102430	5159041	5216169	5275730	5335968	5396725	5458039	5519793	5582024	5644535	5707245	5770154	5832944	5895654	5958045	6011191	6059574	6105123	6152704	6198582	6243283
seniorpop	Population Aged 65+	Macroeconomic	double(12,0)	""	""	""	""	Statistics Canada Population Estimates	Y	946243	985645	1023297	1059198	1095600	1133001	1171003	1211705	1255007	1300909	1347211	1395713	1445416	1496068	1549270	1604223	1658825	1716378	1772881	1825383	1870285	1909087	1945738	1981490	2016892	2051343	2080879	2107913	2133489	2160328	2186329	2211778
